Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,MasVnrArea,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,SaleCondition,SalePrice
68,20,RL,72,10665,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,167,1013,Unf,0,440,1453,Normal,226000
69,30,RM,47,4608,Pave,Reg,Lvl,AllPub,OldTown,Artery,Norm,1Fam,1Story,4,6,1945,1950,Gable,0,0,Unf,0,747,747,Normal,80000
70,50,RL,81,15593,Pave,Reg,Lvl,AllPub,ClearCr,Norm,Norm,1Fam,1.5Fin,7,4,1953,1953,Gable,0,603,Unf,0,701,1304,Normal,225000
71,20,RL,95,13651,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Gable,1115,1880,Unf,0,343,2223,Normal,244000
72,20,RL,69,7599,Pave,Reg,Lvl,AllPub,Mitchel,Norm,Norm,1Fam,1Story,4,6,1982,2006,Gable,0,565,Unf,0,280,845,Normal,129500
73,60,RL,74,10141,Pave,IR1,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1998,Gable,40,0,Unf,0,832,832,Normal,185000
74,20,RL,85,10200,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,7,1954,2003,Gable,104,320,BLQ,362,404,1086,Normal,144900
75,50,RM,60,5790,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,1Fam,2Story,3,6,1915,1950,Gambrel,0,0,Unf,0,840,840,Normal,107400
76,180,RM,21,1596,Pave,Reg,Lvl,AllPub,MeadowV,Norm,Norm,Twnhs,SLvl,4,5,1973,1973,Gable,0,462,Unf,0,0,462,Normal,91000
77,20,RL,NA,8475,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,4,7,1956,1956,Gable,0,228,Unf,0,724,952,Normal,135750
78,50,RM,50,8635,Pave,Reg,Lvl,AllPub,BrkSide,Norm,Norm,1Fam,1.5Fin,5,5,1948,2001,Gable,0,336,GLQ,41,295,672,Normal,127000
79,90,RL,72,10778,Pave,Reg,Lvl,AllPub,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,1968,Hip,0,0,Unf,0,1768,1768,Normal,136500
80,50,RM,60,10440,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,1Fam,2Story,5,6,1910,1981,Gable,0,0,Unf,0,440,440,Normal,110000
81,60,RL,100,13000,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,Gable,576,448,Unf,0,448,896,Normal,193500
82,120,RM,32,4500,Pave,Reg,Lvl,AllPub,Mitchel,Norm,Norm,TwnhsE,1Story,6,5,1998,1998,Hip,443,1201,Unf,0,36,1237,Normal,153500
83,20,RL,78,10206,Pave,Reg,Lvl,AllPub,Somerst,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,468,33,Unf,0,1530,1563,Normal,245000
84,20,RL,80,8892,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,5,1960,1960,Gable,66,0,Unf,0,1065,1065,Normal,126500
85,80,RL,NA,8530,Pave,IR1,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,SLvl,7,5,1995,1996,Gable,22,0,Unf,0,384,384,Normal,168500
86,60,RL,121,16059,Pave,Reg,Lvl,AllPub,NoRidge,Norm,Norm,1Fam,2Story,8,5,1991,1992,Hip,284,0,Unf,0,1288,1288,Normal,260000
87,60,RL,122,11911,Pave,IR2,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,2Story,6,5,2005,2005,Gable,0,0,Unf,0,684,684,Normal,174000
88,160,FV,40,3951,Pave,Reg,Lvl,AllPub,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,2009,Gable,76,0,Unf,0,612,612,Partial,164500
89,50,C (all),105,8470,Pave,IR1,Lvl,AllPub,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,3,2,1915,1982,Hip,0,0,Unf,0,1013,1013,Abnorml,85000
90,20,RL,60,8070,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,4,5,1994,1995,Gable,0,588,Unf,0,402,990,Normal,123600
91,20,RL,60,7200,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,4,5,1950,1950,Gable,0,0,NA,0,0,0,Normal,109900
92,20,RL,85,8500,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,3,1961,1961,Hip,203,600,Unf,0,635,1235,Abnorml,98600
93,30,RL,80,13360,Pave,IR1,HLS,AllPub,Crawfor,Norm,Norm,1Fam,1Story,5,7,1921,2006,Gable,0,713,Unf,0,163,876,Normal,163500
94,190,C (all),60,7200,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,2fmCon,2.5Unf,6,6,1910,1998,Hip,0,1046,Unf,0,168,1214,Normal,133900
95,60,RL,69,9337,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,0,648,Unf,0,176,824,Normal,204750
96,60,RL,NA,9765,Pave,IR2,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,2Story,6,8,1993,1993,Gable,68,310,Unf,0,370,680,Normal,185000
97,20,RL,78,10264,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,183,1162,Unf,0,426,1588,Normal,214000
98,20,RL,73,10921,Pave,Reg,HLS,AllPub,Edwards,Norm,Norm,1Fam,1Story,4,5,1965,1965,Hip,48,520,Unf,0,440,960,Normal,94750
99,30,RL,85,10625,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,1Fam,1Story,5,5,1920,1950,Gable,0,108,Unf,0,350,458,Abnorml,83000
100,20,RL,77,9320,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,4,5,1959,1959,Gable,0,569,Unf,0,381,950,Normal,128950
101,20,RL,NA,10603,Pave,IR1,Lvl,AllPub,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,28,1200,Unf,0,410,1610,Normal,205000
102,60,RL,77,9206,Pave,Reg,Lvl,AllPub,SawyerW,Norm,Norm,1Fam,2Story,6,5,1985,1985,Gable,336,0,Unf,0,741,741,Normal,178000
103,90,RL,64,7018,Pave,Reg,Bnk,AllPub,SawyerW,Norm,Norm,Duplex,1Story,5,5,1979,1979,Gable,0,0,NA,0,0,0,Alloca,118964
104,20,RL,94,10402,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,0,0,Unf,0,1226,1226,Normal,198900
105,50,RM,NA,7758,Pave,Reg,Lvl,AllPub,IDOTRR,Norm,Norm,1Fam,1.5Fin,7,4,1931,1950,Gable,600,224,Unf,0,816,1040,Normal,169500
106,60,FV,75,9375,Pave,Reg,Lvl,AllPub,Somerst,Norm,Norm,1Fam,2Story,8,5,2003,2004,Hip,768,0,Unf,0,1053,1053,Normal,250000
107,30,RM,60,10800,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,1Fam,1Story,4,7,1885,1995,Mansard,0,0,Unf,0,641,641,Normal,100000
108,20,RM,50,6000,Pave,Reg,Lvl,AllPub,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,0,104,BLQ,169,516,789,Partial,115000
109,50,RM,85,8500,Pave,Reg,Lvl,AllPub,IDOTRR,Artery,Norm,1Fam,1.5Fin,5,7,1919,2005,Gable,0,0,Unf,0,793,793,Normal,115000
110,20,RL,105,11751,Pave,IR1,Lvl,AllPub,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,480,705,Unf,0,1139,1844,Normal,190000
111,50,RL,75,9525,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1954,1972,Gable,0,444,Unf,0,550,994,Normal,136900
112,80,RL,NA,7750,Pave,IR1,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2000,2000,Gable,0,250,Unf,0,134,384,Normal,180000
113,60,RL,77,9965,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,2Story,7,5,2007,2007,Gable,220,984,Unf,0,280,1264,Partial,383970
114,20,RL,NA,21000,Pave,Reg,Bnk,AllPub,Crawfor,Norm,Norm,1Fam,1Story,6,5,1953,1953,Hip,184,35,Rec,869,905,1809,Abnorml,217000
115,70,RL,61,7259,Pave,IR1,Lvl,AllPub,Crawfor,Norm,Norm,1Fam,2Story,6,8,1945,2002,Gambrel,0,774,LwQ,150,104,1028,Normal,259500
116,160,FV,34,3230,Pave,Reg,Lvl,AllPub,Somerst,Norm,Norm,TwnhsE,2Story,6,5,1999,1999,Gable,1129,419,Unf,0,310,729,Normal,176000
117,20,RL,NA,11616,Pave,Reg,Lvl,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,5,1962,1962,Gable,116,170,BLQ,670,252,1092,Normal,139000
118,20,RL,74,8536,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,1Fam,1Story,5,5,2006,2007,Gable,0,0,Unf,0,1125,1125,Partial,155000
119,60,RL,90,12376,Pave,Reg,Lvl,AllPub,SawyerW,Norm,Norm,1Fam,2Story,7,5,1990,1990,Hip,0,1470,Unf,0,203,1673,Normal,320000
120,60,RL,65,8461,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,2Story,6,5,2005,2006,Gable,0,0,Unf,0,728,728,Partial,163990
121,80,RL,NA,21453,Pave,IR1,Low,AllPub,ClearCr,Norm,Norm,1Fam,SLvl,6,5,1969,1969,Flat,0,938,Unf,0,0,938,Normal,180000
122,50,RM,50,6060,Pave,Reg,Lvl,AllPub,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1939,1950,Gable,0,0,Unf,0,732,732,Normal,100000
123,20,RL,75,9464,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,7,1958,1958,Hip,135,570,Unf,0,510,1080,Normal,136000
124,120,RL,55,7892,Pave,Reg,Lvl,AllPub,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1993,1993,Gable,0,300,Unf,0,899,1199,Normal,153900
125,20,RL,48,17043,Pave,IR1,Lvl,AllPub,NWAmes,Norm,Norm,1Fam,1Story,6,5,1979,1998,Gable,0,0,Unf,0,1362,1362,Normal,181000
126,190,RM,60,6780,Pave,Reg,Lvl,AllPub,IDOTRR,Norm,Norm,2fmCon,1.5Fin,6,8,1935,1982,Gable,0,490,Unf,0,30,520,Normal,84500
127,120,RL,NA,4928,Pave,IR1,Lvl,AllPub,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1976,1976,Gable,0,120,Unf,0,958,1078,Normal,128000
128,45,RM,55,4388,Pave,IR1,Bnk,AllPub,OldTown,Feedr,Norm,1Fam,1.5Unf,5,7,1930,1950,Gable,0,116,Unf,0,556,672,Normal,87000
129,60,RL,69,7590,Pave,Reg,Lvl,AllPub,NAmes,PosN,Norm,1Fam,2Story,6,5,1966,1966,Gable,266,512,Unf,0,148,660,Normal,155000
130,20,RL,69,8973,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,7,1958,1991,Gable,85,567,BLQ,28,413,1008,Abnorml,150000
131,60,RL,88,14200,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,2Story,7,6,1966,1966,Gable,309,445,Unf,0,479,924,Normal,226000
132,60,RL,NA,12224,Pave,IR1,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,40,695,Unf,0,297,992,Normal,244000
133,20,RL,75,7388,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,2002,Gable,0,405,Unf,0,658,1063,Normal,150750
134,20,RL,NA,6853,Pave,IR1,Lvl,AllPub,Timber,Norm,Norm,1Fam,1Story,8,5,2001,2002,Gable,136,1005,Unf,0,262,1267,Normal,220000
135,20,RL,78,10335,Pave,IR1,Lvl,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,6,1968,1993,Gable,0,570,Unf,0,891,1461,Normal,180000
136,20,RL,80,10400,Pave,Reg,Lvl,AllPub,NWAmes,Norm,Norm,1Fam,1Story,7,6,1970,1970,Hip,288,0,Unf,0,1304,1304,Normal,174000
137,20,RL,NA,10355,Pave,IR1,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,5,1967,1967,Gable,196,695,Unf,0,519,1214,Normal,143000
138,90,RL,82,11070,Pave,Reg,Lvl,AllPub,Mitchel,Norm,Norm,Duplex,1Story,7,5,1988,1989,Gable,70,0,Unf,0,1907,1907,Family,171000
139,60,RL,73,9066,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,2Story,8,5,1999,2000,Gable,320,668,Unf,0,336,1004,Normal,230000
140,60,RL,65,15426,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,2Story,6,5,1997,1997,Gable,0,821,Unf,0,107,928,Normal,231500
141,20,RL,70,10500,Pave,Reg,Lvl,AllPub,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,0,432,Unf,0,432,864,Normal,115000
142,20,RL,78,11645,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,0,1300,Unf,0,434,1734,Normal,260000
143,50,RL,71,8520,Pave,Reg,Lvl,AllPub,NAmes,Artery,Norm,1Fam,1.5Fin,5,4,1952,1952,Gable,0,507,Unf,0,403,910,Normal,166000
144,20,RL,78,10335,Pave,IR1,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,1999,Gable,183,679,Unf,0,811,1490,Normal,204000
145,90,RM,70,9100,Pave,Reg,Lvl,AllPub,Sawyer,RRAe,Norm,Duplex,1Story,5,5,1963,1963,Gable,336,1332,Unf,0,396,1728,Abnorml,125000
146,160,RM,24,2522,Pave,Reg,Lvl,AllPub,Edwards,Norm,Norm,Twnhs,2Story,6,5,2004,2006,Gable,50,0,Unf,0,970,970,Normal,130000
147,30,RM,51,6120,Pave,Reg,Lvl,AllPub,BrkSide,Norm,Norm,1Fam,1Story,5,7,1931,1993,Gable,0,209,Unf,0,506,715,Normal,105000
148,60,RL,NA,9505,Pave,IR1,Lvl,AllPub,Gilbert,Norm,Norm,1Fam,2Story,7,5,2001,2001,Gable,180,0,Unf,0,884,884,Normal,222500
149,20,RL,63,7500,Pave,Reg,Lvl,AllPub,SawyerW,Norm,Norm,1Fam,1Story,7,5,2004,2005,Gable,120,680,Unf,0,400,1080,Normal,141000
150,50,RM,NA,6240,Pave,Reg,Lvl,AllPub,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1936,1950,Gable,0,0,Unf,0,896,896,Normal,115000
151,20,RL,120,10356,Pave,Reg,Lvl,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1975,Gable,0,716,Unf,0,253,969,Normal,122000
152,20,RL,107,13891,Pave,Reg,Lvl,AllPub,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,436,1400,Unf,0,310,1710,Partial,372402
